n,pattern,height,avg_depth,balance_height,balance_size
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
30000,random,37,17,0.478873,0.480916
30000,random,36,18,0.610169,0.612613
30000,random,33,17,0.507692,0.53719
30000,random,35,17,0.461538,0.444444
30000,random,34,16,0.515152,0.487603
30000,random,33,16,0.507692,0.516667
30000,random,33,16,0.484375,0.491667
30000,random,41,18,0.61194,0.588235
30000,random,38,19,0.355932,0.313953
30000,random,36,17,0.529412,0.529412
30000,random,37,19,0.587302,0.584158
30000,random,35,17,0.507246,0.568966
30000,random,32,17,0.438596,0.45283
30000,random,33,17,0.578947,0.587156
30000,random,34,17,0.484848,0.512821
30000,random,35,17,0.522388,0.524194
30000,random,39,18,0.639344,0.744681
30000,random,35,18,0.469697,0.412281
30000,random,35,17,0.469697,0.465517
30000,random,36,18,0.514286,0.518182
30000,random,32,17,0.47541,0.441441
30000,random,40,19,0.384615,0.37931
30000,random,33,17,0.5,0.516667
30000,random,33,17,0.5,0.517241
30000,random,37,17,0.513889,0.496
30000,random,32,17,0.516129,0.508621
30000,random,31,16,0.483333,0.473214
30000,random,34,18,0.413793,0.419048
30000,random,32,17,0.533333,0.579439
30000,random,32,18,0.561404,0.529412
30000,random,35,19,0.40678,0.4
30000,random,31,17,0.5,0.487179
30000,random,38,18,0.472222,0.48
30000,random,33,17,0.467742,0.478632
30000,random,35,17,0.42623,0.425926
30000,random,34,16,0.523077,0.508197
30000,random,35,17,0.555556,0.560345
30000,random,33,17,0.5,0.486486
30000,random,32,16,0.466667,0.478261
30000,random,34,16,0.492537,0.53719
30000,random,33,16,0.507692,0.464912
30000,random,33,18,0.532258,0.446602
30000,random,34,18,0.548387,0.548673
30000,random,34,18,0.596491,0.57
30000,random,37,17,0.544118,0.508475
30000,random,37,17,0.439394,0.446429
30000,random,34,17,0.492537,0.464912
30000,random,32,17,0.483871,0.465517
30000,random,33,17,0.5,0.5
30000,random,33,17,0.492308,0.504202
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
30000,ascending,43,25,0,0
