n,collision_rate,pattern,height,avg_depth,balance_height,balance_size
150000,0.01,random,40,21,0.506329,0.489655
150000,0.01,random,39,20,0.486842,0.471831
150000,0.01,random,44,20,0.47619,0.469388
150000,0.01,random,41,20,0.561644,0.564286
150000,0.1,random,38,20,0.5,0.507353
150000,0.1,random,43,20,0.505882,0.5
150000,0.1,random,47,20,0.552941,0.575342
150000,0.1,random,39,20,0.52,0.517007
150000,0.1,random,39,20,0.5,0.482759
150000,0.1,random,40,20,0.452055,0.422222
150000,0.1,random,41,21,0.532468,0.55102
150000,0.1,random,39,20,0.541667,0.539568
150000,0.1,random,40,21,0.493671,0.515873
150000,0.1,random,41,20,0.453333,0.428571
150000,0.1,random,43,20,0.455696,0.515152
150000,0.1,random,42,22,0.454545,0.450382
150000,0.1,random,39,20,0.527027,0.507143
150000,0.1,random,39,21,0.472973,0.455882
150000,0.1,random,40,20,0.487179,0.482759
150000,0.1,random,43,21,0.573333,0.562044
150000,0.1,random,43,20,0.455696,0.489655
150000,0.1,random,43,21,0.52439,0.503401
150000,0.1,random,44,21,0.53012,0.488889
150000,0.1,random,42,20,0.5,0.486842
150000,0.1,random,39,20,0.458333,0.457143
150000,0.1,random,38,20,0.486486,0.48227
150000,0.1,random,39,20,0.48,0.492857
150000,0.1,random,41,20,0.4875,0.472973
150000,0.1,random,39,21,0.426471,0.393701
150000,0.1,random,40,21,0.56338,0.543307
150000,0.1,random,40,21,0.466667,0.448529
150000,0.1,random,42,20,0.475,0.462585
150000,0.1,random,45,22,0.375,0.375
150000,0.1,random,43,21,0.565789,0.568182
150000,0.1,random,38,20,0.5,0.553846
150000,0.1,random,40,20,0.506329,0.52027
150000,0.1,random,40,21,0.519481,0.571429
150000,0.1,random,45,21,0.523256,0.536
150000,0.1,random,41,21,0.640625,0.633333
150000,0.1,random,43,21,0.441558,0.449275
150000,0.1,random,42,21,0.432432,0.449275
150000,0.1,random,43,21,0.565789,0.569231
150000,0.1,random,45,22,0.671642,0.63964
150000,0.1,random,43,22,0.410959,0.426357
150000,0.1,random,43,20,0.518072,0.506667
150000,0.1,random,39,21,0.486842,0.445255
150000,0.1,random,41,20,0.474359,0.49635
150000,0.1,random,38,20,0.5,0.528986
150000,0.1,random,43,22,0.348485,0.310345
150000,0.1,random,41,21,0.554054,0.533333
150000,0.1,random,42,21,0.646154,0.666667
150000,0.1,random,42,20,0.461538,0.473333
150000,0.1,random,42,20,0.432432,0.449275
150000,0.1,random,38,20,0.479452,0.463415
150000,0,ascending,45,21,0.592105,0.645161
150000,0,ascending,40,20,0.43662,0.447761
150000,0,ascending,43,21,0.5375,0.530612
